"Story","Title","Result","Date","Stability","Duration (s)"
"[05_Automation] - Product","TC44 - Add new product with blank price payload","SUCCESS","2023-11-03T01:28:11.9210615+07:00[Asia/Bangkok]","0.0","0.09"
"[05_Automation] - Product","TC45 - Add new product with only space on price payload","SUCCESS","2023-11-03T01:28:12.0231361+07:00[Asia/Bangkok]","0.0","0.11"
"[05_Automation] - Product","TC48 - Add new product with body parameter is empty","SUCCESS","2023-11-03T01:28:12.1417709+07:00[Asia/Bangkok]","0.0","0.11"
"[05_Automation] - Product","TC49 - Add new products with invalid HTTP method","SUCCESS","2023-11-03T01:28:12.2621539+07:00[Asia/Bangkok]","0.0","0.09"
"[05_Automation] - Product","TC50 - Get products by ID","SUCCESS","2023-11-03T01:28:12.3630812+07:00[Asia/Bangkok]","0.0","0.1"
"[05_Automation] - Product","TC51 - Get product using invalid ID with character symbols","SUCCESS","2023-11-03T01:28:12.463646+07:00[Asia/Bangkok]","0.0","0.1"
"[05_Automation] - Product","TC52 - Get categories by invalid ID with character alphabet","SUCCESS","2023-11-03T01:28:12.5680719+07:00[Asia/Bangkok]","0.0","0.1"
"[05_Automation] - Product","TC53 - Delete a products by ID","SUCCESS","2023-11-03T01:28:12.6827031+07:00[Asia/Bangkok]","0.0","0.1"
"[05_Automation] - Product","TC54 - Delete a products using invalid ID with character symbols","SUCCESS","2023-11-03T01:28:12.7866239+07:00[Asia/Bangkok]","0.0","0.11"
"[05_Automation] - Product","TC55 - Delete a products using invalid ID with character alphabet","SUCCESS","2023-11-03T01:28:12.8964112+07:00[Asia/Bangkok]","0.0","0.1"
"[07_Automation] - Ratings","TC65 - Give products ratings","SUCCESS","2023-11-03T01:28:13.0085709+07:00[Asia/Bangkok]","0.0","0.14"
"[07_Automation] - Ratings","TC66 - Give product ratings without setting token","SUCCESS","2023-11-03T01:28:13.1566486+07:00[Asia/Bangkok]","0.0","0.11"
"[07_Automation] - Ratings","TC68 - Give products ratings with unavailable","SUCCESS","2023-11-03T01:28:13.2687713+07:00[Asia/Bangkok]","0.0","0.1"
"[07_Automation] - Ratings","TC69 - Give products ratings with invalid HTTP method","SUCCESS","2023-11-03T01:28:13.3727295+07:00[Asia/Bangkok]","0.0","0.11"
"[07_Automation] - Ratings","TC70 - Get products ratings","SUCCESS","2023-11-03T01:28:13.4894239+07:00[Asia/Bangkok]","0.0","0.09"
"[07_Automation] - Ratings","TC71 - Get product rating using invalid product ID with character symbols","SUCCESS","2023-11-03T01:28:13.5872608+07:00[Asia/Bangkok]","0.0","0.11"
"[07_Automation] - Ratings","TC72 - Get product rating using invalid product id with character alphabet","SUCCESS","2023-11-03T01:28:13.7004088+07:00[Asia/Bangkok]","0.0","0.1"
"[01_Automation] - Register","TC01 - Register using valid format fullname, email and password","SUCCESS","2023-11-03T01:28:13.8076358+07:00[Asia/Bangkok]","0.0","0.12"
"[01_Automation] - Register","TC02 - Register without using fullname","SUCCESS","2023-11-03T01:28:13.937167+07:00[Asia/Bangkok]","0.0","0.1"
"[01_Automation] - Register","TC03 - Register without using email","SUCCESS","2023-11-03T01:28:14.0423371+07:00[Asia/Bangkok]","0.0","0.11"
"[01_Automation] - Register","TC04 - Register without using password","SUCCESS","2023-11-03T01:28:14.1592773+07:00[Asia/Bangkok]","0.0","0.11"
"[01_Automation] - Register","TC08 - Register with existed account","SUCCESS","2023-11-03T01:28:14.2845908+07:00[Asia/Bangkok]","0.0","0.13"
"[01_Automation] - Register","TC09 - Register with invalid payload format","SUCCESS","2023-11-03T01:28:14.4220593+07:00[Asia/Bangkok]","0.0","0.1"
"[01_Automation] - Register","TC10 - Register without any payload","SUCCESS","2023-11-03T01:28:14.5391275+07:00[Asia/Bangkok]","0.0","0.1"
"[01_Automation] - Register","TC11 - Register with body parameter is empty","SUCCESS","2023-11-03T01:28:14.641357+07:00[Asia/Bangkok]","0.0","0.09"
"[01_Automation] - Register","TC12 - Register with invalid HTTP method","SUCCESS","2023-11-03T01:28:14.7323849+07:00[Asia/Bangkok]","0.0","0.09"
"[03_Automation] - User Information","TC22 - Get user information","SUCCESS","2023-11-03T01:28:14.8286035+07:00[Asia/Bangkok]","0.0","0.1"
"[03_Automation] - User Information","TC23 - Get user information without token","SUCCESS","2023-11-03T01:28:14.9325573+07:00[Asia/Bangkok]","0.0","0.09"
