"Story","Title","Result","Date","Stability","Duration (s)"
"[05_Automation] - Product","TC45 - Add new product with only space on price payload","SUCCESS","2023-10-31T04:23:59.6716427+07:00[Asia/Bangkok]","0.0","0.09"
"[05_Automation] - Product","TC48 - Add new product with body parameter is empty","SUCCESS","2023-10-31T04:23:59.7664061+07:00[Asia/Bangkok]","0.0","0.09"
"[05_Automation] - Product","TC49 - Add new products with invalid HTTP method","SUCCESS","2023-10-31T04:23:59.8670133+07:00[Asia/Bangkok]","0.0","0.1"
"[05_Automation] - Product","TC50 - Get products by ID","SUCCESS","2023-10-31T04:23:59.968195+07:00[Asia/Bangkok]","0.0","0.11"
"[05_Automation] - Product","TC51 - Get product using invalid ID with character symbols","SUCCESS","2023-10-31T04:24:00.0828182+07:00[Asia/Bangkok]","0.0","0.1"
"[05_Automation] - Product","TC52 - Get categories by invalid ID with character alphabet","SUCCESS","2023-10-31T04:24:00.1832789+07:00[Asia/Bangkok]","0.0","0.09"
"[05_Automation] - Product","TC53 - Delete a products by ID","SUCCESS","2023-10-31T04:24:00.2725725+07:00[Asia/Bangkok]","0.0","0.1"
"[05_Automation] - Product","TC54 - Delete a products using invalid ID with character symbols","SUCCESS","2023-10-31T04:24:00.3713107+07:00[Asia/Bangkok]","0.0","0.09"
"[05_Automation] - Product","TC55 - Delete a products using invalid ID with character alphabet","SUCCESS","2023-10-31T04:24:00.4687257+07:00[Asia/Bangkok]","0.0","0.1"
"[07_Automation] - Ratings","TC65 - Give products ratings","SUCCESS","2023-10-31T04:24:00.5751696+07:00[Asia/Bangkok]","0.0","0.11"
"[07_Automation] - Ratings","TC66 - Give product ratings without setting token","SUCCESS","2023-10-31T04:24:00.6911492+07:00[Asia/Bangkok]","0.0","0.09"
"[07_Automation] - Ratings","TC68 - Give products ratings with unavailable","SUCCESS","2023-10-31T04:24:00.7821256+07:00[Asia/Bangkok]","0.0","0.09"
"[07_Automation] - Ratings","TC69 - Give products ratings with invalid HTTP method","SUCCESS","2023-10-31T04:24:00.8748349+07:00[Asia/Bangkok]","0.0","0.1"
"[07_Automation] - Ratings","TC70 - Get products ratings","SUCCESS","2023-10-31T04:24:00.9783377+07:00[Asia/Bangkok]","0.0","0.09"
"[07_Automation] - Ratings","TC71 - Get product rating using invalid product ID with character symbols","SUCCESS","2023-10-31T04:24:01.0685492+07:00[Asia/Bangkok]","0.0","0.09"
"[07_Automation] - Ratings","TC72 - Get product rating using invalid product id with character alphabet","SUCCESS","2023-10-31T04:24:01.1597249+07:00[Asia/Bangkok]","0.0","0.08"
"[01_Automation] - Register","TC02 - Register without using fullname","SUCCESS","2023-10-31T04:24:01.41802+07:00[Asia/Bangkok]","0.0","0.1"
"[01_Automation] - Register","TC03 - Register without using email","SUCCESS","2023-10-31T04:24:01.5227575+07:00[Asia/Bangkok]","0.0","0.11"
"[01_Automation] - Register","TC04 - Register without using password","SUCCESS","2023-10-31T04:24:01.6367099+07:00[Asia/Bangkok]","0.0","0.1"
"[01_Automation] - Register","TC08 - Register with existed account","SUCCESS","2023-10-31T04:24:01.7408716+07:00[Asia/Bangkok]","0.0","0.09"
"[01_Automation] - Register","TC09 - Register with invalid payload format","SUCCESS","2023-10-31T04:24:01.8353996+07:00[Asia/Bangkok]","0.0","0.1"
"[01_Automation] - Register","TC10 - Register without any payload","SUCCESS","2023-10-31T04:24:01.9384672+07:00[Asia/Bangkok]","0.0","0.09"
"[01_Automation] - Register","TC11 - Register with body parameter is empty","SUCCESS","2023-10-31T04:24:02.0345015+07:00[Asia/Bangkok]","0.0","0.1"
"[01_Automation] - Register","TC12 - Register with invalid HTTP method","SUCCESS","2023-10-31T04:24:02.138332+07:00[Asia/Bangkok]","0.0","0.09"
"[03_Automation] - User Information","TC22 - Get user information","SUCCESS","2023-10-31T04:24:02.2330763+07:00[Asia/Bangkok]","0.0","0.09"
"[03_Automation] - User Information","TC23 - Get user information without token","SUCCESS","2023-10-31T04:24:02.326066+07:00[Asia/Bangkok]","0.0","0.09"
