"Story","Title","Result","Date","Stability","Duration (s)"
"[05_Automation] - Product","TC49 - Add new products with invalid HTTP method","SUCCESS","2023-10-31T04:37:30.8968399+07:00[Asia/Bangkok]","0.0","0.08"
"[05_Automation] - Product","TC50 - Get products by ID","SUCCESS","2023-10-31T04:37:30.9863957+07:00[Asia/Bangkok]","0.0","0.09"
"[05_Automation] - Product","TC51 - Get product using invalid ID with character symbols","SUCCESS","2023-10-31T04:37:31.0848035+07:00[Asia/Bangkok]","0.0","0.09"
"[05_Automation] - Product","TC52 - Get categories by invalid ID with character alphabet","SUCCESS","2023-10-31T04:37:31.1762004+07:00[Asia/Bangkok]","0.0","0.1"
"[05_Automation] - Product","TC53 - Delete a products by ID","SUCCESS","2023-10-31T04:37:31.2801741+07:00[Asia/Bangkok]","0.0","0.09"
"[05_Automation] - Product","TC54 - Delete a products using invalid ID with character symbols","SUCCESS","2023-10-31T04:37:31.3741454+07:00[Asia/Bangkok]","0.0","0.08"
"[05_Automation] - Product","TC55 - Delete a products using invalid ID with character alphabet","SUCCESS","2023-10-31T04:37:31.4623896+07:00[Asia/Bangkok]","0.0","0.09"
"[07_Automation] - Ratings","TC65 - Give products ratings","SUCCESS","2023-10-31T04:37:31.5560998+07:00[Asia/Bangkok]","0.0","0.12"
"[07_Automation] - Ratings","TC66 - Give product ratings without setting token","SUCCESS","2023-10-31T04:37:31.6795699+07:00[Asia/Bangkok]","0.0","0.09"
"[07_Automation] - Ratings","TC68 - Give products ratings with unavailable","SUCCESS","2023-10-31T04:37:31.7740495+07:00[Asia/Bangkok]","0.0","0.09"
"[07_Automation] - Ratings","TC69 - Give products ratings with invalid HTTP method","SUCCESS","2023-10-31T04:37:31.8654226+07:00[Asia/Bangkok]","0.0","0.09"
"[07_Automation] - Ratings","TC70 - Get products ratings","SUCCESS","2023-10-31T04:37:31.957633+07:00[Asia/Bangkok]","0.0","0.09"
"[07_Automation] - Ratings","TC71 - Get product rating using invalid product ID with character symbols","SUCCESS","2023-10-31T04:37:32.0528447+07:00[Asia/Bangkok]","0.0","0.08"
"[07_Automation] - Ratings","TC72 - Get product rating using invalid product id with character alphabet","SUCCESS","2023-10-31T04:37:32.1415296+07:00[Asia/Bangkok]","0.0","0.08"
"[01_Automation] - Register","TC01 - Register using valid format fullname, email and password","FAILURE","2023-10-31T04:37:32.2335875+07:00[Asia/Bangkok]","0.0","0.13"
"[01_Automation] - Register","TC02 - Register without using fullname","SUCCESS","2023-10-31T04:37:32.4026739+07:00[Asia/Bangkok]","0.0","0.1"
"[01_Automation] - Register","TC03 - Register without using email","SUCCESS","2023-10-31T04:37:32.5111928+07:00[Asia/Bangkok]","0.0","0.08"
"[01_Automation] - Register","TC04 - Register without using password","SUCCESS","2023-10-31T04:37:32.6012098+07:00[Asia/Bangkok]","0.0","0.09"
"[01_Automation] - Register","TC08 - Register with existed account","SUCCESS","2023-10-31T04:37:32.695388+07:00[Asia/Bangkok]","0.0","0.09"
"[01_Automation] - Register","TC09 - Register with invalid payload format","SUCCESS","2023-10-31T04:37:32.7918994+07:00[Asia/Bangkok]","0.0","0.1"
"[01_Automation] - Register","TC10 - Register without any payload","SUCCESS","2023-10-31T04:37:32.8960456+07:00[Asia/Bangkok]","0.0","0.09"
"[01_Automation] - Register","TC11 - Register with body parameter is empty","SUCCESS","2023-10-31T04:37:32.9937688+07:00[Asia/Bangkok]","0.0","0.1"
"[01_Automation] - Register","TC12 - Register with invalid HTTP method","SUCCESS","2023-10-31T04:37:33.0993974+07:00[Asia/Bangkok]","0.0","0.08"
"[03_Automation] - User Information","TC22 - Get user information","SUCCESS","2023-10-31T04:37:33.1893117+07:00[Asia/Bangkok]","0.0","0.09"
"[03_Automation] - User Information","TC23 - Get user information without token","SUCCESS","2023-10-31T04:37:33.2793457+07:00[Asia/Bangkok]","0.0","0.1"
